            table_name             |          column_name           
 kmc_knowledge_base                | reranking_model_name
 ai_workflow_node                  | name
 ai_workflow_node                  | type
 kmc_knowledge_base                | reranking_mode
 ai_workflow_node                  | create_by
 ai_workflow_node                  | update_by
 ai_workflow_node                  | remark
 kmc_knowledge_base                | tags
 ai_workflow_variable              | value
 ai_workflow_variable              | name
 ai_workflow_variable              | type
 ai_workflow_variable              | create_by
 ai_workflow_variable              | update_by
 ai_workflow_variable              | remark
 kmc_category                      | name
 kmc_category                      | ancestors
 kmc_category                      | create_by
 kmc_category                      | update_by
 kmc_category                      | remark
 kmc_knowledge_base                | name
 kmc_knowledge_base                | description
 kmc_knowledge_base                | embedding_model
 kmc_knowledge_base                | search_method
 kmc_knowledge_base                | reranking_model
 kb_tool                           | tags
 kmc_knowledge_base                | create_by
 kmc_knowledge_base                | update_by
 kmc_knowledge_base                | remark
 kb_tool                           | source
 kmc_document                      | name
 kmc_document                      | path
 kb_tool_method                    | code
 kmc_document                      | knowledge_base_name
 kmc_document                      | category_name
 kmc_document                      | description
 kmc_document                      | mode
 kmc_document                      | parent_mode
 kmc_document                      | chunk_overlap
 kmc_document                      | separator
 kmc_document                      | subchunk_separator
 kmc_document                      | doc_form
 kmc_document                      | doc_language
 kmc_document                      | chat_model
 kmc_document                      | chat_model_provider
 kmc_document                      | create_by
 kmc_document                      | update_by
 kmc_document                      | remark
 kmc_document_log                  | user_name
 kmc_document_log                  | document_name
 kmc_document_log                  | create_by
 kmc_document_log                  | update_by
 kmc_document_log                  | remark
 kg_node                           | label
 kmc_document_segment              | document_name
 kmc_document_segment              | content
 kmc_document_segment              | sign_content
 kmc_document_segment              | answer
 kmc_document_segment              | keywords
 kmc_document_segment              | child_chunks
 kmc_document_segment              | qm_segment_id
 kmc_document_segment              | qm_document_id
 kmc_document_segment              | index_node_id
 kmc_document_segment              | index_node_hash
 kmc_document_segment              | status
 kmc_document_segment              | completed_at
 kmc_document_segment              | error
 kmc_document_segment              | parent_id
 kmc_document_segment              | create_by
 kmc_document_segment              | update_by
 kmc_document_segment              | remark
 kg_node                           | remark
 kmc_knowledge_recall_log          | query
 kmc_knowledge_recall_log          | result
 kg_node                           | type
 kmc_knowledge_recall_log          | create_by
 kmc_knowledge_recall_log          | update_by
 kmc_knowledge_recall_log          | remark
 kg_node                           | create_by
 kg_node                           | update_by
 kmc_knowledge_role                | create_by
 kmc_knowledge_role                | update_by
 kmc_knowledge_role                | remark
 kmc_sync                          | error_msg
 kmc_sync                          | create_by
 kmc_sync                          | update_by
 kmc_sync                          | remark
 kg_edge                           | remark
 kg_knowledge_category             | name
 kg_edge                           | label
 kg_knowledge_category             | ancestors
 kg_edge                           | create_by
 kg_knowledge_category             | create_by
 kg_knowledge_category             | update_by
 kg_edge                           | update_by
 kg_knowledge_category             | remark
 kg_knowledge_document             | name
 kg_knowledge_document             | path
 kg_knowledge_document             | description
 kg_knowledge_document             | create_by
 kg_knowledge_document             | update_by
 kg_knowledge_document             | remark
 kg_knowledge_document_log         | user_name
 kg_knowledge_document_log         | document_name
 kg_knowledge_document_log         | create_by
 kg_knowledge_document_log         | update_by
 kg_knowledge_document_log         | remark
 kb_bot                            | name
 kb_bot                            | description
 kb_bot                            | create_by
 kb_bot                            | update_by
 kb_bot                            | remark
 kac_apply                         | name
 kac_apply                         | description
 kac_apply                         | icon
 kac_apply                         | type
 kac_apply                         | tags
 kac_apply                         | create_by
 kac_apply                         | update_by
 kb_agent_config                   | model_config
 kb_agent_config                   | pre_prompt
 kb_agent_config                   | parameters
 kb_agent_config                   | knowledge_ids
 kb_agent_config                   | graph_ids
 kb_agent_config                   | tool_method_ids
 kb_agent_config                   | create_by
 kb_agent_config                   | update_by
 kb_agent_config                   | remark
 kb_bot_apikey                     | api_key
 kb_bot_apikey                     | create_by
 kb_bot_apikey                     | update_by
 kb_bot_apikey                     | remark
 kac_solution                      | name
 kac_solution                      | description
 kac_solution                      | icon
 kb_code_native                    | class_name
 kb_code_native                    | param_schema
 kb_code_native                    | return_schema
 kb_code_native                    | code
 kac_solution                      | type
 kb_code_native                    | create_by
 kb_code_native                    | update_by
 kb_code_native                    | remark
 kac_solution                      | create_by
 kac_solution                      | update_by
 kb_flow_node                      | uuid
 kb_flow_node                      | config
 kb_flow_node                      | style
 kb_flow_node                      | input
 kb_flow_node                      | output
 kb_flow_node                      | name
 kb_flow_node                      | create_by
 kb_flow_node                      | update_by
 kb_flow_node                      | remark
 kb_flow_edge                      | source_node_uuid
 kb_flow_edge                      | target_node_uuid
 kb_flow_edge                      | style
 kb_flow_edge                      | source_handle
 kb_flow_edge                      | create_by
 kb_flow_edge                      | update_by
 kb_flow_edge                      | remark
 kac_plugin                        | name
 kac_plugin                        | description
 kac_plugin                        | type
 kb_runtime                        | input
 kb_runtime                        | output
 kac_plugin                        | create_by
 kac_plugin                        | update_by
 kb_runtime                        | create_by
 kb_runtime                        | update_by
 kb_runtime                        | remark
 kb_runtime_node                   | input
 kb_runtime_node                   | output
 kb_runtime_node                   | node_uuid
 kb_runtime_node                   | node_name
 kb_runtime_node                   | create_by
 kb_runtime_node                   | update_by
 kb_runtime_node                   | remark
 kac_apply                         | remark
 kac_solution                      | remark
 kac_plugin                        | remark
 kb_tool                           | name
 kb_tool                           | config
 kb_tool                           | description
 kb_tool                           | type
 kb_tool                           | create_by
 kb_tool                           | update_by
 kb_tool                           | remark
 kb_tool_method                    | name
 kb_tool_method                    | param_schema
 kb_tool_method                    | config
 kac_apply_bot                     | create_by
 kac_apply_bot                     | update_by
 kac_apply_bot                     | remark
 kb_tool_method                    | description
 kb_tool_method                    | create_by
 kb_tool_method                    | update_by
 kb_tool_method                    | remark
 dm_datasource                     | name
 dm_datasource                     | config
 dm_datasource                     | type
 dm_datasource                     | url
 dm_datasource                     | username
 dm_datasource                     | password
 dm_datasource                     | create_by
 dm_datasource                     | update_by
 dm_datasource                     | remark
 kac_apply_knowledge               | create_by
 ext_schema                        | name
 ext_schema                        | description
 kac_apply_knowledge               | update_by
 ext_schema                        | create_by
 ext_schema                        | update_by
 kac_apply_knowledge               | remark
 ext_schema                        | remark
 ext_schema_attribute              | name
 ext_schema_attribute              | type
 ext_schema_attribute              | description
 ext_schema_attribute              | create_by
 ext_schema_attribute              | update_by
 ext_schema_attribute              | remark
 ext_schema_relation               | name
 kac_apply_graph                   | create_by
 ext_schema_relation               | description
 kac_apply_graph                   | update_by
 ext_schema_relation               | create_by
 ext_schema_relation               | update_by
 ext_schema_relation               | remark
 kac_apply_graph                   | remark
 ext_schema_mapping                | source
 ext_schema_mapping                | target
 ext_schema_mapping                | create_by
 ext_schema_mapping                | update_by
 ext_schema_mapping                | remark
 kac_solution_apply                | create_by
 kac_solution_apply                | update_by
 ext_struct_task                   | name
 ext_struct_task                   | config
 kac_solution_apply                | remark
 ext_struct_task                   | create_by
 ext_struct_task                   | update_by
 ext_struct_task                   | remark
 ext_unstruct_task                 | name
 ext_unstruct_task                 | config
 ext_unstruct_task                 | create_by
 ext_unstruct_task                 | update_by
 ext_unstruct_task                 | remark
 ext_unstruct_task_doc_rel         | create_by
 ext_unstruct_task_doc_rel         | update_by
 ext_unstruct_task_doc_rel         | remark
 ext_unstruct_task_relation        | create_by
 ext_unstruct_task_relation        | update_by
 ext_unstruct_task_relation        | remark
 ext_unstruct_task_text            | content
 ext_unstruct_task_text            | create_by
 ext_unstruct_task_text            | update_by
 ext_unstruct_task_text            | remark
 dm_datasource                     | datasource_name
 dm_datasource                     | datasource_type
 dm_datasource                     | datasource_config
 dm_datasource                     | ip
 dm_datasource                     | description
 ext_attribute_mapping             | source
 ext_attribute_mapping             | target
 ext_attribute_mapping             | create_by
 ext_attribute_mapping             | update_by
 ext_attribute_mapping             | remark
 ext_relation_mapping              | source
 ext_relation_mapping              | target
 ext_relation_mapping              | create_by
 ext_relation_mapping              | update_by
 ext_relation_mapping              | remark
 ext_relation_mapping_middle       | source
 ext_relation_mapping_middle       | target
 ext_relation_mapping_middle       | create_by
 ext_relation_mapping_middle       | update_by
 ext_relation_mapping_middle       | remark
 ext_task_log                      | error_msg
 ext_task_log                      | task_type
 ext_task_log                      | create_by
